Standard_NV4as_v4,NV4as v4,Reservation,1568,1 Year,northcentralus
Standard_NV4as_v4,NV4as v4,Reservation,3368,3 Years,usgovvirginia
Standard_NV4as_v4,NV4as v4,Reservation,3233,3 Years,northcentralus
Standard_NV4as_v4,NV4as v4,Reservation,1633,1 Year,westeurope
Standard_NV4as_v4,NV4as v4,Consumption,0.233,,eastus2
Standard_NV4as_v4,NV4as v4,Reservation,3368,3 Years,westeurope
Standard_NV4as_v4,NV4as v4,Reservation,2694,3 Years,eastus2
Standard_NV4as_v4,NV4as v4,Reservation,1306,1 Year,eastus2
Standard_NV4as_v4,NV4as v4,Reservation,2694,3 Years,eastus
Standard_NV4as_v4,NV4as v4,Reservation,2694,3 Years,westus2
Standard_NV4as_v4,NV4as v4,Reservation,3502,3 Years,southeastasia
Standard_NV4as_v4,NV4as v4,Consumption,0.291,,usgovarizona
Standard_NV4as_v4,NV4as v4,Reservation,1306,1 Year,westus2
Standard_NV4as_v4,NV4as v4,Consumption,0.28,,northcentralus
Standard_NV4as_v4,NV4as v4,Consumption,0.233,,westus2
Standard_NV4as_v4,NV4as v4,Reservation,3907,3 Years,japaneast
Standard_NV4as_v4,NV4as v4,Reservation,3772,3 Years,centralindia
Standard_NV4as_v4,NV4as v4,Consumption,0.291,,uksouth
Standard_NV4as_v4,NV4as v4,Reservation,1568,1 Year,canadacentral
Standard_NV4as_v4,NV4as v4,Reservation,1894,1 Year,japaneast
Standard_NV4as_v4,NV4as v4,Reservation,3233,3 Years,canadacentral
Standard_NV4as_v4,NV4as v4,Reservation,3233,3 Years,southcentralus
Standard_NV4as_v4,NV4as v4,Reservation,1829,1 Year,centralindia
Standard_NV4as_v4,NV4as v4,Consumption,0.28,,southcentralus
Standard_NV4as_v4,NV4as v4,Reservation,1633,1 Year,uksouth
Standard_NV4as_v4,NV4as v4,Reservation,1633,1 Year,usgovvirginia
Standard_NV4as_v4,NV4as v4,Reservation,1568,1 Year,northeurope
Standard_NV4as_v4,NV4as v4,Consumption,0.291,,usgovvirginia
Standard_NV4as_v4,NV4as v4,Reservation,3368,3 Years,uksouth
Standard_NV4as_v4,NV4as v4,Consumption,0.326,,centralindia
Standard_NV4as_v4,NV4as v4,Consumption,0.28,,canadacentral
Standard_NV48s_v3,NV48s v3,Reservation,53208,3 Years,westus2
Standard_NV48s_v3,NV48s v3,Consumption,6.384,,centralindia
Standard_NV48s_v3,NV48s v3,Reservation,43257,1 Year,brazilsouth
Standard_NV48s_v3,NV48s v3,Consumption,7.752,,brazilsouth
Standard_NV48s_v3,NV48s v3,Reservation,35623,1 Year,centralindia
Standard_NV48s_v3,NV48s v3,Consumption,5.7,,francecentral
Standard_NV48s_v3,NV48s v3,Consumption,8.482,,norwaywest
Standard_NV48s_v3,NV48s v3,Consumption,4.56,,westus2
Standard_NV48s_v3,NV48s v3,Reservation,25445,1 Year,westus2
Standard_NV48s_v3,NV48s v3,Reservation,31956,1 Year,francecentral
Standard_NV48s_v3,NV48s v3,Reservation,98966,3 Years,norwaywest
Standard_NV48s_v3,NV48s v3,Reservation,73542,3 Years,southeastasia
Standard_NV48s_v3,NV48s v3,Reservation,35657,1 Year,southeastasia
Standard_NV48s_v3,NV48s v3,Reservation,47328,1 Year,norwaywest
Standard_NV48s_v3,NV48s v3,Reservation,90453,3 Years,brazilsouth
Standard_NV48s_v3,NV48s v3,Consumption,4.56,,westus
Standard_NV48s_v3,NV48s v3,Reservation,53208,3 Years,eastus2
Standard_NV48s_v3,NV48s v3,Reservation,74491,3 Years,centralindia
Standard_NV48s_v3,NV48s v3,Reservation,52728,3 Years,westus
Standard_NV48s_v3,NV48s v3,Consumption,5.7,,usgovarizona
Standard_NV48s_v3,NV48s v3,Reservation,31807,1 Year,usgovarizona
Standard_NV48s_v3,NV48s v3,Reservation,25565,1 Year,westus
Standard_NV48s_v3,NV48s v3,Reservation,66509,3 Years,usgovarizona
Standard_NV48s_v3,NV48s v3,Reservation,65910,3 Years,francecentral
Standard_NV48s_v3,NV48s v3,Reservation,66509,3 Years,usgovvirginia
Standard_NV48s_v3,NV48s v3,Consumption,4.56,,eastus2
Standard_NV48s_v3,NV48s v3,Consumption,5.7,,usgovvirginia
Standard_NV48s_v3,NV48s v3,Reservation,31807,1 Year,usgovvirginia
Standard_NV48s_v3,NV48s v3,Consumption,6.36,,southeastasia
Standard_NV48s_v3,NV48s v3,Consumption,6.32,,japaneast
Standard_NV48s_v3,NV48s v3,Reservation,35267,1 Year,japaneast
Standard_NV48s_v3,NV48s v3,Reservation,25445,1 Year,eastus2
Standard_NV48s_v3,NV48s v3,Reservation,73746,3 Years,japaneast
Standard_NV48s_v3,NV48s v3,Reservation,31956,1 Year,uksouth
Standard_NV48s_v3,NV48s v3,Reservation,32747,1 Year,southafricanorth
Standard_NV48s_v3,NV48s v3,Reservation,73519,3 Years,australiaeast
Standard_NV48s_v3,NV48s v3,Consumption,6.358,,australiaeast
Standard_NV48s_v3,NV48s v3,Reservation,67541,3 Years,southafricanorth
Standard_NV48s_v3,NV48s v3,Reservation,35645,1 Year,australiaeast
Standard_NV48s_v3,NV48s v3,Consumption,5.472,,southcentralus
Standard_NV48s_v3,NV48s v3,Reservation,31956,1 Year,westeurope
Standard_NV48s_v3,NV48s v3,Reservation,31190,1 Year,uaenorth
Standard_NV48s_v3,NV48s v3,Consumption,5.563,,uaenorth
Standard_NV48s_v3,NV48s v3,Reservation,65910,3 Years,westeurope
Standard_NV48s_v3,NV48s v3,Reservation,64328,3 Years,uaenorth
Standard_NV48s_v3,NV48s v3,Reservation,63274,3 Years,southcentralus
Standard_NV48s_v3,NV48s v3,Consumption,5.841,,southafricanorth
Standard_NV48s_v3,NV48s v3,Reservation,65910,3 Years,uksouth
Standard_NV48s_v3,NV48s v3,Consumption,4.838,,northeurope
Standard_NV48s_v3,NV48s v3,Reservation,25565,1 Year,eastus
Standard_NV48s_v3,NV48s v3,Reservation,27124,1 Year,northeurope
Standard_NV48s_v3,NV48s v3,Reservation,30678,1 Year,southcentralus
Standard_NV48s_v3,NV48s v3,Reservation,55943,3 Years,northeurope
Standard_NV48s_v3,NV48s v3,Consumption,4.56,,eastus
Standard_NV48s_v3,NV48s v3,Consumption,5.7,,westeurope
Standard_NV48s_v3,NV48s v3,Consumption,5.7,,uksouth
Standard_NV48s_v3,NV48s v3,Reservation,52728,3 Years,eastus
Standard_NV32as_v4,NV32as v4,Reservation,14630,1 Year,centralindia
Standard_NV32as_v4,NV32as v4,Consumption,2.237,,southcentralus
Standard_NV32as_v4,NV32as v4,Reservation,12540,1 Year,northeurope
Standard_NV32as_v4,NV32as v4,Reservation,21554,3 Years,eastus
Standard_NV32as_v4,NV32as v4,Reservation,30175,3 Years,centralindia
Standard_NV32as_v4,NV32as v4,Reservation,12540,1 Year,southcentralus
Standard_NV32as_v4,NV32as v4,Consumption,2.237,,northeurope
Standard_NV32as_v4,NV32as v4,Reservation,13063,1 Year,westeurope
Standard_NV32as_v4,NV32as v4,Consumption,2.33,,westeurope
Standard_NV32as_v4,NV32as v4,Reservation,25865,3 Years,southcentralus
Standard_NV32as_v4,NV32as v4,Reservation,13063,1 Year,uksouth
Standard_NV32as_v4,NV32as v4,Consumption,2.703,,japaneast
Standard_NV32as_v4,NV32as v4,Reservation,15153,1 Year,japaneast
Standard_NV32as_v4,NV32as v4,Reservation,26942,3 Years,uksouth
Standard_NV32as_v4,NV32as v4,Reservation,26942,3 Years,usgovvirginia
Standard_NV32as_v4,NV32as v4,Reservation,31253,3 Years,japaneast
Standard_NV32as_v4,NV32as v4,Consumption,2.33,,uksouth
Standard_NV32as_v4,NV32as v4,Consumption,2.423,,southeastasia
Standard_NV32as_v4,NV32as v4,Reservation,25865,3 Years,northeurope
Standard_NV32as_v4,NV32as v4,Reservation,13585,1 Year,southeastasia
Standard_NV32as_v4,NV32as v4,Reservation,25865,3 Years,canadacentral
Standard_NV32as_v4,NV32as v4,Reservation,12540,1 Year,northcentralus
Standard_NV32as_v4,NV32as v4,Reservation,12540,1 Year,canadacentral
Standard_NV32as_v4,NV32as v4,Consumption,2.237,,northcentralus
Standard_NV32as_v4,NV32as v4,Consumption,2.33,,usgovvirginia
Standard_NV32as_v4,NV32as v4,Reservation,28020,3 Years,southeastasia
Standard_NV32as_v4,NV32as v4,Reservation,13063,1 Year,usgovvirginia
Standard_NV32as_v4,NV32as v4,Reservation,25865,3 Years,northcentralus
Standard_NV32as_v4,NV32as v4,Consumption,2.237,,canadacentral
Standard_NV32as_v4,NV32as v4,Reservation,21554,3 Years,westus2
Standard_NV32as_v4,NV32as v4,Reservation,15153,1 Year,australiaeast
Standard_NV32as_v4,NV32as v4,Reservation,13063,1 Year,usgovarizona
Standard_NV32as_v4,NV32as v4,Reservation,10450,1 Year,eastus
Standard_NV32as_v4,NV32as v4,Consumption,2.33,,usgovarizona
Standard_NV32as_v4,NV32as v4,Reservation,26942,3 Years,usgovarizona
Standard_NV32as_v4,NV32as v4,Consumption,2.703,,australiaeast
Standard_NV32as_v4,NV32as v4,Reservation,21554,3 Years,eastus2
Standard_NV32as_v4,NV32as v4,Reservation,10450,1 Year,eastus2
Standard_NV32as_v4,NV32as v4,Consumption,1.864,,eastus2
Standard_NV32as_v4,NV32as v4,Reservation,10450,1 Year,westus2
Standard_NV32as_v4,NV32as v4,Consumption,1.864,,westus2
Standard_NV32as_v4,NV32as v4,Reservation,31253,3 Years,australiaeast
Standard_NV32as_v4,NV32as v4,Consumption,1.864,,eastus
Standard_NV32as_v4,NV32as v4,Reservation,26942,3 Years,westeurope
Standard_NV32as_v4,NV32as v4,Consumption,2.61,,centralindia
Standard_NV24s_v3,NV24s v3,Reservation,17823,1 Year,australiaeast
Standard_NV24s_v3,NV24s v3,Consumption,3.179,,australiaeast
Standard_NV24s_v3,NV24s v3,Reservation,33255,3 Years,usgovarizona
Standard_NV24s_v3,NV24s v3,Reservation,36759,3 Years,australiaeast
Standard_NV24s_v3,NV24s v3,Reservation,15903,1 Year,usgovarizona
Standard_NV24s_v3,NV24s v3,Consumption,2.921,,southafricanorth
Standard_NV24s_v3,NV24s v3,Reservation,27971,3 Years,northeurope
Standard_NV24s_v3,NV24s v3,Reservation,32164,3 Years,uaenorth
Standard_NV24s_v3,NV24s v3,Consumption,2.782,,uaenorth
Standard_NV24s_v3,NV24s v3,Reservation,36873,3 Years,japaneast
Standard_NV24s_v3,NV24s v3,Reservation,15595,1 Year,uaenorth
Standard_NV24s_v3,NV24s v3,Reservation,17812,1 Year,centralindia
Standard_NV24s_v3,NV24s v3,Consumption,3.16,,japaneast
Standard_NV24s_v3,NV24s v3,Reservation,37245,3 Years,centralindia
Standard_NV24s_v3,NV24s v3,Consumption,3.192,,centralindia
Standard_NV24s_v3,NV24s v3,Consumption,2.85,,usgovarizona
Standard_NV24s_v3,NV24s v3,Consumption,4.241,,norwaywest
Standard_NV24s_v3,NV24s v3,Reservation,33776,3 Years,southafricanorth
Standard_NV24s_v3,NV24s v3,Reservation,12723,1 Year,eastus2
Standard_NV24s_v3,NV24s v3,Reservation,23664,1 Year,norwaywest
Standard_NV24s_v3,NV24s v3,Reservation,12783,1 Year,eastus
Standard_NV24s_v3,NV24s v3,Consumption,2.42,,northeurope
Standard_NV24s_v3,NV24s v3,Reservation,17634,1 Year,japaneast
Standard_NV24s_v3,NV24s v3,Reservation,15978,1 Year,uksouth
Standard_NV24s_v3,NV24s v3,Consumption,2.28,,eastus
Standard_NV24s_v3,NV24s v3,Consumption,2.85,,uksouth
Standard_NV24s_v3,NV24s v3,Consumption,2.28,,eastus2
Standard_NV24s_v3,NV24s v3,Reservation,26604,3 Years,eastus2
Standard_NV24s_v3,NV24s v3,Reservation,32955,3 Years,westeurope
Standard_NV24s_v3,NV24s v3,Consumption,2.85,,westeurope
Standard_NV24s_v3,NV24s v3,Reservation,15978,1 Year,westeurope
Standard_NV24s_v3,NV24s v3,Reservation,16376,1 Year,southafricanorth
Standard_NV24s_v3,NV24s v3,Reservation,26364,3 Years,eastus
Standard_NV24s_v3,NV24s v3,Reservation,13562,1 Year,northeurope
Standard_NV24s_v3,NV24s v3,Reservation,49483,3 Years,norwaywest
Standard_NV24s_v3,NV24s v3,Consumption,2.85,,francecentral
Standard_NV24s_v3,NV24s v3,Reservation,33255,3 Years,usgovvirginia
Standard_NV24s_v3,NV24s v3,Consumption,2.28,,westus
Standard_NV24s_v3,NV24s v3,Consumption,2.736,,southcentralus
