"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_D2ads_v5","2","1047552","76800","8192","4"
"Standard_D4ads_v5","4","1047552","153600","16384","8"
"Standard_D8ads_v5","8","1047552","307200","32768","16"
"Standard_D16ads_v5","16","1047552","614400","65536","32"
"Standard_D32ads_v5","32","1047552","1228800","131072","32"
"Standard_D48ads_v5","48","1047552","1843200","196608","32"
"Standard_D64ads_v5","64","1047552","2457600","262144","32"
"Standard_B2als_v2","2","1047552","0","4096","4"
"Standard_B2as_v2","2","1047552","0","8192","4"
"Standard_B2ats_v2","2","1047552","0","1024","4"
"Standard_B4als_v2","4","1047552","0","8192","8"
"Standard_B4as_v2","4","1047552","0","16384","8"
"Standard_B8als_v2","8","1047552","0","16384","16"
"Standard_B8as_v2","8","1047552","0","32768","16"
"Standard_B16als_v2","16","1047552","0","32768","32"
"Standard_B16as_v2","16","1047552","0","65536","32"
"Standard_B32als_v2","32","1047552","0","65536","32"
"Standard_B32as_v2","32","1047552","0","131072","32"
"Standard_D2lds_v6","2","1047552","0","4096","8"
"Standard_D4lds_v6","4","1047552","0","8192","12"
"Standard_D8lds_v6","8","1047552","0","16384","24"
"Standard_D16lds_v6","16","1047552","0","32768","48"
"Standard_D32lds_v6","32","1047552","0","65536","64"
"Standard_D48lds_v6","48","1047552","0","98304","64"
"Standard_D64lds_v6","64","1047552","0","131072","64"
"Standard_D96lds_v6","96","1047552","0","196608","64"
"Standard_D128lds_v6","128","1047552","0","262144","64"
"Standard_D2s_v6","2","1047552","0","8192","8"
"Standard_D4s_v6","4","1047552","0","16384","12"
"Standard_D8s_v6","8","1047552","0","32768","24"
"Standard_D16s_v6","16","1047552","0","65536","48"
"Standard_D32s_v6","32","1047552","0","131072","64"
"Standard_D48s_v6","48","1047552","0","196608","64"
"Standard_D64s_v6","64","1047552","0","262144","64"
"Standard_D96s_v6","96","1047552","0","393216","64"
"Standard_D128s_v6","128","1047552","0","524288","64"
"Standard_D192s_v6","192","1047552","0","786432","64"
"Standard_E2s_v6","2","1047552","0","16384","8"
"Standard_E4-2s_v6","4","1047552","0","32768","12"
"Standard_E4s_v6","4","1047552","0","32768","12"
"Standard_E8-2s_v6","8","1047552","0","65536","24"
"Standard_E8-4s_v6","8","1047552","0","65536","24"
"Standard_E8s_v6","8","1047552","0","65536","24"
"Standard_E16-4s_v6","16","1047552","0","131072","48"
"Standard_E16-8s_v6","16","1047552","0","131072","48"
"Standard_E16s_v6","16","1047552","0","131072","48"
"Standard_E20s_v6","20","1047552","0","163840","48"
"Standard_E32-8s_v6","32","1047552","0","262144","64"
"Standard_E32-16s_v6","32","1047552","0","262144","64"
"Standard_E32s_v6","32","1047552","0","262144","64"
"Standard_E48s_v6","48","1047552","0","393216","64"
"Standard_E64-16s_v6","64","1047552","0","524288","64"
"Standard_E64-32s_v6","64","1047552","0","524288","64"
"Standard_E64s_v6","64","1047552","0","524288","64"
"Standard_E96-24s_v6","96","1047552","0","786432","64"
"Standard_E96-48s_v6","96","1047552","0","786432","64"
"Standard_E96s_v6","96","1047552","0","786432","64"
"Standard_E2ds_v6","2","1047552","0","16384","8"
"Standard_E4-2ds_v6","4","1047552","0","32768","12"
"Standard_E4ds_v6","4","1047552","0","32768","12"
"Standard_E8-2ds_v6","8","1047552","0","65536","24"
"Standard_E8-4ds_v6","8","1047552","0","65536","24"
"Standard_E8ds_v6","8","1047552","0","65536","24"
"Standard_E16-4ds_v6","16","1047552","0","131072","48"
"Standard_E16-8ds_v6","16","1047552","0","131072","48"
"Standard_E16ds_v6","16","1047552","0","131072","48"
"Standard_E20ds_v6","20","1047552","0","163840","48"
"Standard_E32-8ds_v6","32","1047552","0","262144","64"
"Standard_E32-16ds_v6","32","1047552","0","262144","64"
"Standard_E32ds_v6","32","1047552","0","262144","64"
"Standard_E48ds_v6","48","1047552","0","393216","64"
"Standard_E64-16ds_v6","64","1047552","0","524288","64"
